ADM3_EN,ADM3_PCODE,ADM2_PCODE,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province
Siane Rural LLG,PG100103,PG1001,PG10,"92",19564.096244,Siane Rural,Siane Rural LLG,Chuave District,Chimbu (Simbu)
Siassi Rural LLG,PG120927,PG1209,PG12,"44",10722.000000,Siassi Rural,Siassi Rural LLG,Tawae/Siassi District,Morobe
Simbai Rural LLG,PG130309,PG1303,PG13,"27",32447.999999,Simbai Rural,Simbai Rural LLG,Middle Ramu District,Madang
Sinivit Rural LLG,PG180313,PG1803,PG18,"62",26661.999999,Sinivit Rural,Sinivit Rural LLG,Pomio District,East New Britain
Siwai LLG,PG200310,PG2003,PG20,"93",34249.000000,Siwai,Siwai LLG,South Bougainville District,Bougainville
South Koroba Rural LLG,PG210517,PG2105,PG21,"73",86423.000002,South Koroba Rural,South Koroba Rural LLG,Koroba/Kopiago District,Hela
South Waghi Rural LLG,PG220102,PG2201,PG22,"308",149869.000001,South Waghi Rural,South Waghi Rural LLG,Anglimp/South Waghi District,Jiwaka
South Wosera Rural LLG,PG140522,PG1405,PG14,"60",34606.000000,South Wosera Rural,South Wosera Rural LLG,Wosera Gawi District,East Sepik
Star Mountains Rural LLG,PG010210,PG0102,PG01,"32",25153.999999,Star Mountains Rural LLG,Star Mountains Rural LLG,North Fly District,Western
Suai Rural LLG,PG100618,PG1006,PG10,"77",24944.000001,Suai Rural,Suai Rural LLG,Sina Sina Yonggomugl District,Chimbu (Simbu)
Suau Rural LLG,PG050106,PG0501,PG05,"36",27304.000001,Suau Rural,Suau Rural LLG,Alotau District,Milne Bay Province
Sumgilbar Rural LLG,PG130514,PG1305,PG13,"124",54914.000000,Sumgilbar Rural,Sumgilbar Rural LLG,Sumkar District,Madang
Tabare Rural LLG,PG100617,PG1006,PG10,"65",24732.000000,Tabare Rural,Tabare Rural LLG,Sina Sina Yonggomugl District,Chimbu (Simbu)
Tagali Rural LLG,PG210828,PG2108,PG21,"24",46767.999999,Tagali Rural,Tagali Rural LLG,Tari/Pori District,Hela
Talasea Rural LLG,PG190211,PG1902,PG19,"50",33817.000001,Talasea Rural,Talasea Rural LLG,Talasea District,West New Britain
Tamata Rural LLG,PG060207,PG0602,PG06,"92",24884.000000,Tamata Rural,Tamata Rural LLG,Sohe District,Northern (Oro)
Tanir Rural LLG,PG170208,PG1702,PG17,"38",15271.000000,Tanir Rural,Tanir Rural LLG,Namatanai District,New Ireland
Tapini Rural LLG,PG030205,PG0302,PG03,"69",19087.000000,Tapini Rural,Tapini Rural LLG,Goilala District,Central
Tari Urban LLG,PG210829,PG2108,PG21,"16",94822.999998,Tari Urban,Tari Urban LLG,Tari/Pori District,Hela
Tebi Rural LLG,PG210830,PG2108,PG21,"18",58303.999999,Tebi Rural,Tebi Rural LLG,Tari/Pori District,Hela
Telefomin Rural LLG,PG150310,PG1503,PG15,"70",18436.000000,Telefomin Rural,Telefomin Rural LLG,Telefomin District,West Sepik (Sandaun)
Tetidu LLG,PG160109,PG1601,PG16,"13",3979.000000,Tetidu,Tetidu LLG,Manus District,Manus
Tikana Rural LLG,PG170103,PG1701,PG17,"92",38546.000001,Tikana Rural,Tikana Rural LLG,Kavieng District,New Ireland
Tinputz LLG,PG200101,PG2001,PG20,"56",32581.000000,Tinputz,Tinputz LLG,North Bougainville District,Bougainville
Torokina LLG,PG200312,PG2003,PG20,"51",10253.000000,Torokina,Torokina LLG,South Bougainville District,Bougainville
Transgogol Rural LLG,PG130206,PG1302,PG13,"85",30217.000000,Transgogol Rural,Transgogol Rural LLG,Madang District,Madang
Tsak Rural LLG,PG080514,PG0805,PG08,"34",26494.000002,Tsak Rural,Tsak Rural LLG,Wapenamanda District,Enga
Tufi Rural LLG,PG060102,PG0601,PG06,"108",26166.999999,Tufi Rural,Tufi Rural LLG,Ijivitari District,Northern (Oro)
Tunap/Hustein LLG,PG140104,PG1401,PG14,"86",19184.000000,Tunap/Hustein,Tunap/Hustein LLG,Ambunti/Drekikier District,East Sepik
Turubu Rural LLG,PG140415,PG1404,PG14,"56",17991.000000,Turubu Rural LLG,Turubu Rural LLG,Wewak District,East Sepik
Umi/Atzera Rural LLG,PG120618,PG1206,PG12,"129",66894.000000,Umi/Atzera Rural,Umi/Atzera Rural LLG,Markham District,Morobe
Unavi Rural LLG,PG110507,PG1105,PG11,"33",6847.000000,Unavi Rural,Unavi Rural LLG,Lufa District,Eastern Highlands
Unggai Rural LLG,PG110824,PG1108,PG11,"115",33812.000001,Unggai  Rural,Unggai Rural LLG,Unggai/Benna District,Eastern Highlands
Upper Asaro Rural LLG,PG110113,PG1101,PG11,"62",18334.953876,Upper Asaro Rural,Upper Asaro Rural LLG,Daulo District,Eastern Highlands
Upper Bena Rural LLG,PG110823,PG1108,PG11,"157",37411.041493,Upper Bena Rural,Upper Bena Rural LLG,Unggai/Benna District,Eastern Highlands
Upper Mendi Rural LLG,PG070621,PG0706,PG07,"27",57299.000000,Upper Mendi Rural,Upper Mendi Rural LLG,Mendi/Munihu District,Southern Highlands
Upper Wage LLG,PG210431,PG2104,PG21,"88",35841.349571,Upper Wage,Upper Wage LLG,Komo/Magarima District,Hela
Upper/Lower Koronigl LLG,PG100411,PG1004,PG10,"89",54701.795359,Upper/Lower Koronigl,Upper/Lower Koronigl LLG,Kerowagi District,Chimbu (Simbu)
Usino Rural LLG,PG130616,PG1306,PG13,"117",74459.751645,Usino Rural,Usino Rural LLG,Usino Bundi District,Madang
Vanimo Urban LLG,PG150415,PG1504,PG15,"26",26495.000000,Vanimo Urban,Vanimo Urban LLG,Vanimo/Green River District,West Sepik (Sandaun)
Vunadidir/Toma Rural LLG,PG180105,PG1801,PG18,"37",41836.000000,Vunadidir/Toma Rural,Vunadidir/Toma Rural LLG,Gazelle District,East New Britain
Wabag Rural LLG,PG080411,PG0804,PG08,"106",110279.000000,Wabag Rural,Wabag Rural LLG,Wabag District,Enga
Wabag Urban LLG,PG080410,PG0804,PG08,"13",7064.000000,Wabag Urban,Wabag Urban LLG,Wabag District,Enga
Wage Rural LLG,PG080102,PG0801,PG08,"116",47865.000000,Wage Rural,Wage Rural LLG,Kandep District,Enga
Wain-Erap Rural LLG,PG120825,PG1208,PG12,"80",57188.000002,Wain-Erap Rural,Wain-Erap Rural LLG,Nawae District,Morobe
Waiye LLG,PG100516,PG1005,PG10,"77",62328.000000,Waiye,Waiye LLG,Kundiawa/Gembogl District,Chimbu (Simbu)
Wakunai LLG,PG200207,PG2002,PG20,"84",61104.000002,Wakunai,Wakunai LLG,Central Bougainville District,Bougainville
Walsa Rural LLG,PG150416,PG1504,PG15,"40",12835.000000,Walsa Rural,Walsa Rural LLG,Vanimo/Green River District,West Sepik (Sandaun)
Wampar Rural LLG,PG120311,PG1203,PG12,"135",137823.999998,Wampar Rural,Wampar Rural LLG,Huon District,Morobe
Wantoat/Leron Rural LLG,PG120619,PG1206,PG12,"103",26895.000000,Wantoat/Leron Rural,Wantoat/Leron Rural LLG,Markham District,Morobe
Wapenamanda Rural LLG,PG080513,PG0805,PG08,"74",52177.999999,Wapenamanda Rural,Wapenamanda Rural LLG,Wapenamanda District,Enga
Wapi-Yengis Rural LLG,PG080205,PG0802,PG08,"21",7368.537280,Wapi-Yengis Rural,Wapi-Yengis Rural LLG,Kompiam District,Enga
Wapi Rural LLG,PG120722,PG1207,PG12,"49",33073.000000,Wapi Rural,Wapi Rural LLG,Menyamya District,Morobe
Waria Rural LLG,PG120102,PG1201,PG12,"60",17276.000000,Waria Rural,Waria Rural LLG,Wau-Waria District,Morobe
Wasu Rural LLG,PG120928,PG1209,PG12,"46",22735.000000,Wasu Rural,Wasu Rural LLG,Tawae/Siassi District,Morobe
Watabung Rural LLG,PG110101,PG1101,PG11,"75",17256.830603,Watabung Rural,Watabung Rural LLG,Daulo District,Eastern Highlands
Watom Island Rual LLG,PG180418,PG1804,PG18,"7",3682.000000,Watom Island Rual,Watom Island Rual LLG,Rabaul District,East New Britain
Watut Rural LLG,PG120103,PG1201,PG12,"58",37930.999999,Watut Rural,Watut Rural LLG,Bulolo District,Morobe
Wau Rural LLG,PG120105,PG1201,PG12,"121",48596.999999,Wau Rural,Wau Rural LLG,Wau-Waria District,Morobe
Wau/Bulolo Urban LLG,PG120104,PG1201,PG12,"45",21028.000000,Wau/Bulolo Urban,Wau/Bulolo Urban LLG,Bulolo District,Morobe
Weraura Rural LLG,PG050103,PG0501,PG05,"63",20834.000000,Weraura Rural,Weraura Rural LLG,Alotau District,Milne Bay Province
West Aitape Rural LLG,PG150103,PG1501,PG15,"31",28689.000000,West Aitape Rural,West Aitape Rural LLG,Aitape/Lumi District,West Sepik (Sandaun)
West Ferguson Rural LLG,PG050414,PG0504,PG05,"26",38891.000000,West Ferguson Rural,West Ferguson Rural LLG,Esa'ala District,Milne Bay Province
West Kikori Rural LLG,PG020210,PG0202,PG02,"43",15699.000000,West Kikori Rural,West Kikori Rural LLG,Kikori District,Gulf Province
West Okapa Rural LLG,PG110722,PG1107,PG11,"95",19192.073700,West Okapa Rural,West Okapa Rural LLG,Okapa District,Eastern Highlands
West Pomio/Mamusi Rural LLG,PG180314,PG1803,PG18,"85",17578.000000,West Pomio/Mamusi Rural,West Pomio/Mamusi Rural LLG,Pomio District,East New Britain
West Wapei Rural LLG,PG150104,PG1501,PG15,"56",17253.000000,West Wapei Rural,West Wapei Rural LLG,Aitape/Lumi District,West Sepik (Sandaun)
West Yangoru Rural LLG,PG140626,PG1406,PG14,"41",21996.000001,West Yangoru Rural,West Yangoru Rural LLG,Yangoru Saussia District,East Sepik
Wewak Islands Rural LLG,PG140416,PG1404,PG14,"59",13823.000000,Wewak Islands Rural,Wewak Islands Rural LLG,Wewak District,East Sepik
Wewak Rural LLG,PG140417,PG1404,PG14,"51",26922.000001,Wewak Rural LLG,Wewak Rural LLG,Wewak District,East Sepik
Wewak Urban LLG,PG140418,PG1404,PG14,"74",52094.000000,Wewak Urban,Wewak Urban LLG,Wewak District,East Sepik
Wiru Rural LLG,PG070104,PG0701,PG07,"134",36876.000000,Wiru Rural,Wiru Rural LLG,Ialibu/Pangia District,Southern Highlands
Woitape Rural LLG,PG030206,PG0302,PG03,"62",32037.000001,Woitape Rural,Woitape Rural LLG,Goilala District,Central
Yabim Mape Rural LLG,PG120208,PG1202,PG12,"57",21074.810073,Yabim Mape Rural,Yabim Mape Rural LLG,Finschafen District,Morobe
Yagaria Rural LLG,PG110521,PG1105,PG11,"84",30562.774441,Yagaria Rural,Yagaria Rural LLG,Lufa District,Eastern Highlands
Yaleyemba Rural LLG,PG050210,PG0502,PG05,"75",101016.000002,Yaleyemba Rural,Yaleyemba Rural LLG,Samarai-Murua District,Milne Bay Province
Yamil/Tamaui Rural LLG,PG140313,PG1403,PG14,"38",25671.000001,Yamil/Tamaui Rural,Yamil/Tamaui Rural LLG,Maprik District,East Sepik
Yangkok Rural LLG,PG150207,PG1502,PG15,"57",30146.000001,Yangkok Rural,Yangkok Rural LLG,Nuku District,West Sepik (Sandaun)
Yapsie Rural LLG,PG150311,PG1503,PG15,"42",8664.000000,Yapsie Rural,Yapsie Rural LLG,Telefomin District,West Sepik (Sandaun)
Yawar Rural LLG,PG130103,PG1301,PG13,"125",65892.000000,Yawar Rural,Yawar Rural LLG,Bogia District,Madang
Yelia Rural LLG,PG110609,PG1106,PG11,"126",10574.000000,Yelia Rural,Yelia Rural LLG,Obura/Wonenara District,Eastern Highlands
Yonggomugl Rural LLG,PG100619,PG1006,PG10,"58",33759.000000,Yonggomugl Rural,Yonggomugl Rural LLG,Sina Sina Yonggomugl District,Chimbu (Simbu)
Yuat Rural LLG,PG140209,PG1402,PG14,"35",18186.999999,Yuat Rural,Yuat Rural LLG,Angoram District,East Sepik
Yus Rural LLG,PG120414,PG1204,PG12,"37",16490.000000,Yus Rural,Yus Rural LLG,Kabwum District,Morobe
